estado,regiao
ACRE,NORTE
ALAGOAS,NORDESTE
AMAPA,NORTE
AMAZONAS,NORTE
BAHIA,NORDESTE
CEARA,NORDESTE
DISTRITO FEDERAL,CENTRO-OESTE
ESPIRITO SANTO,SUDESTE
GOIAS,CENTRO-OESTE
MARANHAO,NORDESTE
MATO GROSSO,CENTRO-OESTE
MATO GROSSO DO SUL,CENTRO-OESTE
MINAS GERAIS,SUDESTE
PARA,NORTE
PARAIBA,NORDESTE
PARANA,SUL
PERNAMBUCO,NORDESTE
PIAUI,NORDESTE
RIO DE JANEIRO,SUDESTE
RIO GRANDE DO NORTE,NORDESTE
RIO GRANDE DO SUL,SUL
RONDONIA,NORTE
RORAIMA,NORTE
SANTA CATARINA,SUL
SAO PAULO,SUDESTE
SERGIPE,NORDESTE
TOCANTINS,NORTE
